repunit	repunit_scenario	iter	true_repprop	reprop_posterior_mean	repu_n
Mar_Apr	All-Mar_Apr	8	1	0.958014370474586	48
Mar_Apr	All-Mar_Apr	9	1	0.957304188970071	48
Mar_Apr	All-Mar_Apr	10	1	0.905656482288819	48
Mar_Apr	All-Mar_Apr	11	1	0.965628517815433	48
Mar_Apr	All-Mar_Apr	12	1	0.9576601835804	48
Mar_Apr	All-Mar_Apr	13	1	0.984786645117624	48
Mar_Apr	All-Mar_Apr	14	1	0.958052835724835	48
Mar_Apr	All-Mar_Apr	15	1	0.983984726603646	48
Mar_Apr	All-Mar_Apr	16	1	0.875965851518284	48
Mar_Apr	All-Mar_Apr	17	1	0.952090211304214	48
Mar_Apr	All-Mar_Apr	18	1	0.972490574847121	48
Mar_Apr	All-Mar_Apr	19	1	0.941134193858509	48
Mar_Apr	All-Mar_Apr	20	1	0.978609267733287	48
Mar_Apr	All-Mar_Apr	21	1	0.958909060608735	48
Mar_Apr	All-Mar_Apr	22	1	0.966899989716879	48
Mar_Apr	All-Mar_Apr	23	1	0.948474816046099	48
Mar_Apr	All-Mar_Apr	24	1	0.984111958332847	48
Mar_Apr	All-Mar_Apr	25	1	0.964635907941788	48
Mar_Apr	All-Mar_Apr	26	1	0.975454312267531	48
Mar_Apr	All-Mar_Apr	27	1	0.979694384537261	48
Mar_Apr	All-Mar_Apr	28	1	0.981035468010818	48
Mar_Apr	All-Mar_Apr	29	1	0.981149015415809	48
Mar_Apr	All-Mar_Apr	30	1	0.952298391552326	48
Mar_Apr	All-Mar_Apr	31	1	0.980513567246671	48
Mar_Apr	All-Mar_Apr	32	1	0.900639517984458	48
Mar_Apr	All-Mar_Apr	33	1	0.926848051083768	48
Mar_Apr	All-Mar_Apr	35	1	0.95475841951926	48
Mar_Apr	All-Mar_Apr	36	1	0.978772078712677	48
Mar_Apr	All-Mar_Apr	37	1	0.937734761755057	48
Mar_Apr	All-Mar_Apr	38	1	0.908846495911209	48
Mar_Apr	All-Mar_Apr	39	1	0.905308539933843	48
