iter	repunit	true_repprop	reprop_posterior_mean	repu_n	repu_n_prop
1	Jan_Feb	0.235426964075995	0.18885178426753	12	0.25
1	Mar_Apr	0.14128732395481	0.285471548483727	10	0.208333333333333
1	May_Jun	0.623285711969195	0.525676667248744	26	0.541666666666667
2	Jan_Feb	0.679845105868374	0.648767128274658	35	0.729166666666667
2	Mar_Apr	0.172542889189572	0.187533716304672	5	0.104166666666667
2	May_Jun	0.147612004942054	0.16369915542067	8	0.166666666666667
3	Jan_Feb	0.415967607295981	0.4729587410867	24	0.5
3	Mar_Apr	0.375190523561807	0.324985823086851	15	0.3125
3	May_Jun	0.208841869142211	0.202055435826449	9	0.1875
4	Jan_Feb	0.16246298432056	0.101375125462129	7	0.145833333333333
4	Mar_Apr	0.274472704412094	0.325403297209984	13	0.270833333333333
4	May_Jun	0.563064311267346	0.573221577327886	28	0.583333333333333
5	Jan_Feb	0.178848947841493	0.210468518540511	11	0.229166666666667
5	Mar_Apr	0.361600162856234	0.381076268326106	18	0.375
5	May_Jun	0.459550889302273	0.408455213133383	19	0.395833333333333
6	Jan_Feb	0.29384146022926	0.292137631256041	12	0.25
6	Mar_Apr	0.403162793702896	0.359420438999096	21	0.4375
6	May_Jun	0.302995746067844	0.348441929744864	15	0.3125
7	Jan_Feb	0.237620158821652	0.26491002232712	15	0.3125
7	Mar_Apr	0.167887331804535	0.231113128013137	9	0.1875
7	May_Jun	0.594492509373812	0.503976849659743	24	0.5
8	Jan_Feb	0.474741760340316	0.552888493904553	29	0.604166666666667
8	Mar_Apr	0.306286121173471	0.273424975770048	12	0.25
8	May_Jun	0.218972118486214	0.1736865303254	7	0.145833333333333
9	Jan_Feb	0.367947711874993	0.367784928625492	18	0.375
9	Mar_Apr	0.163359777485634	0.200586515049114	10	0.208333333333333
9	May_Jun	0.468692510639373	0.431628556325395	20	0.416666666666667
10	Jan_Feb	0.42455019266441	0.430309062372911	21	0.4375
10	Mar_Apr	0.345904017711914	0.223782506681575	12	0.25
10	May_Jun	0.229545789623676	0.345908430945514	15	0.3125
11	Jan_Feb	0.0220645897271706	0.129579667019403	0	0
11	Mar_Apr	0.654796242987891	0.424781445402147	27	0.5625
11	May_Jun	0.323139167284939	0.445638887578448	21	0.4375
12	Jan_Feb	0.0927625340161551	0.0294306066334007	2	0.0416666666666667
12	Mar_Apr	0.409792923697368	0.519950482309738	25	0.520833333333333
12	May_Jun	0.497444542286477	0.450618911056862	21	0.4375
13	Jan_Feb	0.507034384842105	0.522427719089368	24	0.5
13	Mar_Apr	0.112856499388309	0.0582501273145852	5	0.104166666666667
13	May_Jun	0.380109115769587	0.419322153596047	19	0.395833333333333
14	Jan_Feb	0.301830054519943	0.22486800638906	12	0.25
14	Mar_Apr	0.402331556814375	0.505353305878385	24	0.5
14	May_Jun	0.295838388665682	0.269778687732555	12	0.25
15	Jan_Feb	0.591534558896996	0.136878159411766	20	0.416666666666667
15	Mar_Apr	0.201513542641281	0.475269307066634	10	0.208333333333333
15	May_Jun	0.206951898461723	0.3878525335216	18	0.375
16	Jan_Feb	0.255061136877415	0.13870217838654	8	0.166666666666667
16	Mar_Apr	0.326388176810749	0.559272674504011	25	0.520833333333333
16	May_Jun	0.418550686311836	0.302025147109448	15	0.3125
17	Jan_Feb	0.65754672831947	0.534021917870347	36	0.75
17	Mar_Apr	0.259728853970274	0.422314009555468	11	0.229166666666667
17	May_Jun	0.0827244177102562	0.0436640725741848	1	0.0208333333333333
18	Jan_Feb	0.112034979528251	0.0594827586912388	2	0.0416666666666667
18	Mar_Apr	0.28581805880554	0.294967863726691	14	0.291666666666667
18	May_Jun	0.602146961666208	0.645549377582071	32	0.666666666666667
19	Jan_Feb	0.546480780226087	0.398846316598154	27	0.5625
19	Mar_Apr	0.294390859725576	0.464916819581289	17	0.354166666666667
19	May_Jun	0.159128360048337	0.136236863820558	4	0.0833333333333333
20	Jan_Feb	0.294647231768069	0.374557333905002	20	0.416666666666667
20	Mar_Apr	0.443398859384049	0.391661367934012	18	0.375
20	May_Jun	0.261953908847882	0.233781298160985	10	0.208333333333333
21	Jan_Feb	0.326052731608932	0.346230802439733	9	0.1875
21	Mar_Apr	0.404912436534086	0.332885272215806	23	0.479166666666667
21	May_Jun	0.269034831856982	0.320883925344461	16	0.333333333333333
22	Jan_Feb	0.292918501655227	0.253239456216644	12	0.25
22	Mar_Apr	0.518579082768693	0.494663281839054	25	0.520833333333333
22	May_Jun	0.18850241557608	0.252097261944302	11	0.229166666666667
23	Jan_Feb	0.280235685676657	0.438224213687979	14	0.291666666666667
23	Mar_Apr	0.279908140777381	0.0832555451836938	12	0.25
23	May_Jun	0.439856173545961	0.478520241128326	22	0.458333333333333
24	Jan_Feb	0.241508927089247	0.139780093643216	13	0.270833333333333
24	Mar_Apr	0.354999926191076	0.421276095403749	15	0.3125
24	May_Jun	0.403491146719678	0.438943810953035	20	0.416666666666667
25	Jan_Feb	0.398922085350609	0.378605896414819	19	0.395833333333333
25	Mar_Apr	0.320864632916555	0.293396844422661	15	0.3125
25	May_Jun	0.280213281732836	0.327997259162519	14	0.291666666666667
26	Jan_Feb	0.357802095871601	0.262409689816911	16	0.333333333333333
26	Mar_Apr	0.326365977393658	0.425297893642738	16	0.333333333333333
26	May_Jun	0.315831926734741	0.31229241654035	16	0.333333333333333
27	Jan_Feb	0.133717651374161	0.212727722263183	7	0.145833333333333
27	Mar_Apr	0.147853141133581	0.096828912934638	7	0.145833333333333
27	May_Jun	0.718429207492258	0.690443364802178	34	0.708333333333333
28	Jan_Feb	0.624167148429356	0.590433402348255	33	0.6875
28	Mar_Apr	0.149506171747261	0.216659050262073	8	0.166666666666667
28	May_Jun	0.226326679823384	0.192907547389672	7	0.145833333333333
29	Jan_Feb	0.0315681097184547	0.0765392971097232	2	0.0416666666666667
29	Mar_Apr	0.68322143968611	0.593222843330764	30	0.625
29	May_Jun	0.285210450595435	0.330237859559513	16	0.333333333333333
30	Jan_Feb	0.456855064159864	0.47618143240356	22	0.458333333333333
30	Mar_Apr	0.120836635289731	0.0825797690380213	5	0.104166666666667
30	May_Jun	0.422308300550405	0.441238798558419	21	0.4375
31	Jan_Feb	0.217699537274682	0.0549324979611128	7	0.145833333333333
31	Mar_Apr	0.58409495467277	0.721627442194677	31	0.645833333333333
31	May_Jun	0.198205508052548	0.223440059844211	10	0.208333333333333
32	Jan_Feb	0.924649011234117	0.8171284467136	41	0.854166666666667
32	Mar_Apr	0.0182085628440014	0.05911500701727	2	0.0416666666666667
32	May_Jun	0.0571424259218814	0.12375654626913	5	0.104166666666667
33	Jan_Feb	0.379319133109045	0.113937106559891	18	0.375
33	Mar_Apr	0.465829772421225	0.650980101720408	21	0.4375
33	May_Jun	0.15485109446973	0.2350827917197	9	0.1875
