iter	repunit	true_repprop	reprop_posterior_mean	repu_n	repu_n_prop
34	Jan_Feb	0.174052339046877	0.2121100147821	10	0.208333333333333
34	Mar_Apr	0.193774843467622	0.128717969177087	7	0.145833333333333
34	May_Jun	0.632172817485501	0.659172016040813	31	0.645833333333333
35	Jan_Feb	0.0652681702661305	0.108760762697773	5	0.104166666666667
35	Mar_Apr	0.696685678275219	0.727784931163538	35	0.729166666666667
35	May_Jun	0.23804615145865	0.163454306138689	8	0.166666666666667
36	Jan_Feb	0.0831467702740774	0.132590617320772	5	0.104166666666667
36	Mar_Apr	0.42945159032163	0.470306767166675	24	0.5
36	May_Jun	0.487401639404292	0.397102615512553	19	0.395833333333333
37	Jan_Feb	0.118776488559715	0.0687743156722183	5	0.104166666666667
37	Mar_Apr	0.0271040697203396	0.0419228338803518	1	0.0208333333333333
37	May_Jun	0.854119441719945	0.889302850447431	42	0.875
38	Jan_Feb	0.36852918304345	0.0869313638381872	11	0.229166666666667
38	Mar_Apr	0.299794160766094	0.53070047501541	18	0.375
38	May_Jun	0.331676656190456	0.382368161146403	19	0.395833333333333
39	Jan_Feb	0.426747957270511	0.512598137000793	21	0.4375
39	Mar_Apr	0.378504400191221	0.230683193397547	15	0.3125
39	May_Jun	0.194747642538268	0.25671866960166	12	0.25
40	Jan_Feb	0.741552659568072	0.497781328543156	28	0.583333333333333
40	Mar_Apr	0.0985386775885249	0.329990760642918	10	0.208333333333333
40	May_Jun	0.159908662843403	0.172227910813925	10	0.208333333333333
41	Jan_Feb	0.0847316853676894	0.203491904609997	7	0.145833333333333
41	Mar_Apr	0.722047432916571	0.525650875726978	29	0.604166666666667
41	May_Jun	0.193220881715739	0.270857219663025	12	0.25
42	Jan_Feb	0.303682488957138	0.351833198659802	21	0.4375
42	Mar_Apr	0.283004715723969	0.341062302007193	11	0.229166666666667
42	May_Jun	0.413312795318892	0.307104499333006	16	0.333333333333333
43	Jan_Feb	0.426251460698827	0.393357477161332	20	0.416666666666667
43	Mar_Apr	0.292013640144718	0.339263819035947	15	0.3125
43	May_Jun	0.281734899156454	0.26737870380272	13	0.270833333333333
44	Jan_Feb	0.362762881409022	0.247546643858081	20	0.416666666666667
44	Mar_Apr	0.274810619553647	0.374194309025028	12	0.25
44	May_Jun	0.362426499037331	0.378259047116892	16	0.333333333333333
45	Jan_Feb	0.394686840419494	0.331110061332479	11	0.229166666666667
45	Mar_Apr	0.392022735793704	0.438791474995138	26	0.541666666666667
45	May_Jun	0.213290423786801	0.230098463672383	11	0.229166666666667
46	Jan_Feb	0.270294182580368	0.220953162105717	14	0.291666666666667
46	Mar_Apr	0.63169252908799	0.679192851272225	31	0.645833333333333
46	May_Jun	0.0980132883316425	0.0998539866220566	3	0.0625
47	Jan_Feb	0.130964519959557	0.0987970005813427	11	0.229166666666667
47	Mar_Apr	0.376554236748503	0.482455003718536	16	0.333333333333333
47	May_Jun	0.49248124329194	0.418747995700122	21	0.4375
48	Jan_Feb	0.245896204931216	0.291976218041617	12	0.25
48	Mar_Apr	0.588726014420294	0.537797376619508	28	0.583333333333333
48	May_Jun	0.165377780648491	0.170226405338876	8	0.166666666666667
49	Jan_Feb	0.404233084418551	0.304060096124011	15	0.3125
49	Mar_Apr	0.397115046529749	0.51985607498928	24	0.5
49	May_Jun	0.198651869051701	0.176083828886707	9	0.1875
50	Jan_Feb	0.720674518223818	0.841703439326131	38	0.791666666666667
50	Mar_Apr	0.146418684746135	0.0565388198488919	5	0.104166666666667
50	May_Jun	0.132906797030047	0.101757740824978	5	0.104166666666667
